slot,scene,method,tier,role,retrieval_success,confirmation_failure,round,snapshot,candidates,viable,confirmed,vote_budget_possible_candidates,minimum_zero_cells,minimum_missing_cells,minimum_missing_tickets,fixed_source,fixed_missing_tickets,fixed_missing_cells,fixed_viable,task_mass
11,eval-easy-006,generic,easy,primary,True,False,3,slot-011-eval-easy-006-generic/attempt/data/rounds/round-03,34,6,6,6,0,0,0,624,0,0,True,46.52038471450209
12,eval-easy-006,ours,easy,primary,True,False,1,slot-012-eval-easy-006-ours/attempt/data/rounds/round-01,34,5,0,5,13,99,113,624,113,99,True,124.45551642235499
12,eval-easy-006,ours,easy,primary,True,False,2,slot-012-eval-easy-006-ours/attempt/data/rounds/round-02,34,5,0,5,0,13,13,624,14,14,True,75.48608648052743
12,eval-easy-006,ours,easy,primary,True,False,3,slot-012-eval-easy-006-ours/attempt/data/rounds/round-03,34,5,4,4,0,0,0,624,0,0,True,46.261928269241594
13,eval-hard-007,ours,hard,primary,False,False,1,slot-013-eval-hard-007-ours/attempt/data/rounds/round-01,34,4,0,4,77,99,176,624,176,99,True,153.0155117705169
13,eval-hard-007,ours,hard,primary,False,False,2,slot-013-eval-hard-007-ours/attempt/data/rounds/round-02,34,4,0,4,0,77,77,624,77,77,True,92.80859930043785
13,eval-hard-007,ours,hard,primary,False,False,3,slot-013-eval-hard-007-ours/attempt/data/rounds/round-03,34,4,4,4,0,0,0,624,0,0,True,56.291260960700015
14,eval-hard-007,generic,hard,primary,False,True,1,slot-014-eval-hard-007-generic/attempt/data/rounds/round-01,35,5,0,5,77,99,176,624,176,99,True,157.40898111080426
14,eval-hard-007,generic,hard,primary,False,True,2,slot-014-eval-hard-007-generic/attempt/data/rounds/round-02,35,5,0,0,64,83,148,624,148,83,True,144.51507064384805
14,eval-hard-007,generic,hard,primary,False,True,3,slot-014-eval-hard-007-generic/attempt/data/rounds/round-03,35,5,0,0,63,70,133,624,136,72,True,136.73529712483116
15,eval-moderate-023,generic,moderate,primary,True,False,1,slot-015-eval-moderate-023-generic/attempt/data/rounds/round-01,37,6,0,6,9,102,111,500,111,102,True,118.06204708206761
15,eval-moderate-023,generic,moderate,primary,True,False,2,slot-015-eval-moderate-023-generic/attempt/data/rounds/round-02,37,6,0,6,0,10,10,500,10,10,True,71.84690252225165
15,eval-moderate-023,generic,moderate,primary,True,False,3,slot-015-eval-moderate-023-generic/attempt/data/rounds/round-03,37,6,6,6,0,0,0,500,0,0,True,43.722098466153575
16,eval-moderate-023,ours,moderate,primary,True,False,1,slot-016-eval-moderate-023-ours/attempt/data/rounds/round-01,36,6,0,6,17,102,123,500,123,106,True,128.9640871863781
16,eval-moderate-023,ours,moderate,primary,True,False,2,slot-016-eval-moderate-023-ours/attempt/data/rounds/round-02,36,6,0,6,0,17,17,500,17,17,True,78.2206728803915
16,eval-moderate-023,ours,moderate,primary,True,False,3,slot-016-eval-moderate-023-ours/attempt/data/rounds/round-03,36,6,6,6,0,0,0,500,0,0,True,47.44323632530995
17,eval-moderate-004,ours,moderate,primary,True,False,1,slot-017-eval-moderate-004-ours/attempt/data/rounds/round-01,32,6,0,6,24,101,130,542,130,105,True,125.93143388781493
17,eval-moderate-004,ours,moderate,primary,True,False,2,slot-017-eval-moderate-004-ours/attempt/data/rounds/round-02,32,6,0,6,0,24,24,542,25,25,True,76.38127567453428
17,eval-moderate-004,ours,moderate,primary,True,False,3,slot-017-eval-moderate-004-ours/attempt/data/rounds/round-03,32,6,6,6,0,0,0,542,0,0,True,46.327585524567795
18,eval-moderate-004,generic,moderate,primary,True,False,1,slot-018-eval-moderate-004-generic/attempt/data/rounds/round-01,36,6,0,6,15,99,114,582,114,99,True,120.39020982522862
18,eval-moderate-004,generic,moderate,primary,True,False,2,slot-018-eval-moderate-004-generic/attempt/data/rounds/round-02,36,6,0,6,0,15,15,582,15,15,True,73.02035338823829
18,eval-moderate-004,generic,moderate,primary,True,False,3,slot-018-eval-moderate-004-generic/attempt/data/rounds/round-03,36,6,6,6,0,0,0,582,0,0,True,44.28908311301779
19,eval-moderate-026,generic,moderate,primary,True,False,1,slot-019-eval-moderate-026-generic/attempt/data/rounds/round-01,37,4,0,4,0,104,104,583,104,104,True,110.97959895689499
19,eval-moderate-026,generic,moderate,primary,True,False,2,slot-019-eval-moderate-026-generic/attempt/data/rounds/round-02,37,4,0,4,0,1,1,583,1,1,True,67.55118058851022
19,eval-moderate-026,generic,moderate,primary,True,False,3,slot-019-eval-moderate-026-generic/attempt/data/rounds/round-03,37,4,4,4,0,0,0,583,0,0,True,41.11661140773934
20,eval-moderate-026,ours,moderate,primary,True,False,1,slot-020-eval-moderate-026-ours/attempt/data/rounds/round-01,36,4,0,4,6,104,111,623,111,105,True,115.09470038063077
20,eval-moderate-026,ours,moderate,primary,True,False,2,slot-020-eval-moderate-026-ours/attempt/data/rounds/round-02,36,4,0,4,0,6,6,623,6,6,True,69.80846455129188
20,eval-moderate-026,ours,moderate,primary,True,False,3,slot-020-eval-moderate-026-ours/attempt/data/rounds/round-03,36,4,4,4,0,0,0,623,0,0,True,42.48572333884405
21,eval-hard-006,generic,hard,primary,False,True,1,slot-021-eval-hard-006-generic/attempt/data/rounds/round-01,34,5,0,5,40,106,148,705,148,108,True,139.09633013816014
21,eval-hard-006,generic,hard,primary,False,True,2,slot-021-eval-hard-006-generic/attempt/data/rounds/round-02,34,5,0,3,0,64,64,705,64,64,True,92.312664119115
21,eval-hard-006,generic,hard,primary,False,True,3,slot-021-eval-hard-006-generic/attempt/data/rounds/round-03,34,5,0,0,0,12,12,705,23,23,True,63.29474690525631
22,eval-hard-006,ours,hard,primary,True,False,1,slot-022-eval-hard-006-ours/attempt/data/rounds/round-01,33,5,0,5,36,107,143,705,143,107,True,138.70286079787277
22,eval-hard-006,ours,hard,primary,True,False,2,slot-022-eval-hard-006-ours/attempt/data/rounds/round-02,33,5,0,5,0,36,36,705,36,36,True,84.12753766376333
22,eval-hard-006,ours,hard,primary,True,False,3,slot-022-eval-hard-006-ours/attempt/data/rounds/round-03,33,5,4,4,0,0,0,705,0,0,True,51.264582137742984
23,eval-hard-002,ours,hard,primary,True,False,1,slot-023-eval-hard-002-ours/attempt/data/rounds/round-01,34,4,0,4,89,101,192,580,192,101,True,152.52408253454004
23,eval-hard-002,ours,hard,primary,True,False,2,slot-023-eval-hard-002-ours/attempt/data/rounds/round-02,34,4,0,4,0,89,89,580,91,91,True,92.51053240173871
23,eval-hard-002,ours,hard,primary,True,False,3,slot-023-eval-hard-002-ours/attempt/data/rounds/round-03,34,4,4,4,0,0,0,580,0,0,True,56.11047424799354
24,eval-hard-002,generic,hard,primary,True,False,1,slot-024-eval-hard-002-generic/attempt/data/rounds/round-01,37,4,0,4,91,99,191,583,191,99,True,157.91755187482738
24,eval-hard-002,generic,hard,primary,True,False,2,slot-024-eval-hard-002-generic/attempt/data/rounds/round-02,37,4,0,4,0,91,91,583,92,92,True,95.78183691884308
24,eval-hard-002,generic,hard,primary,True,False,3,slot-024-eval-hard-002-generic/attempt/data/rounds/round-03,37,4,2,2,0,0,0,583,1,1,True,58.62277051546098
26,eval-hard-002,no_cost,hard,secondary_ablation,True,False,1,slot-026-eval-hard-002-no_cost/attempt/data/rounds/round-01,37,4,0,4,89,96,185,541,185,96,True,155.52408253454
26,eval-hard-002,no_cost,hard,secondary_ablation,True,False,2,slot-026-eval-hard-002-no_cost/attempt/data/rounds/round-02,37,4,0,4,0,89,89,541,89,89,True,94.33012438087663
26,eval-hard-002,no_cost,hard,secondary_ablation,True,False,3,slot-026-eval-hard-002-no_cost/attempt/data/rounds/round-03,37,4,4,4,0,0,0,541,0,0,True,57.21411257150786
27,eval-hard-002,no_occlusion,hard,secondary_ablation,False,True,1,slot-027-eval-hard-002-no_occlusion/attempt/data/rounds/round-01,37,4,0,4,89,99,189,583,189,99,True,157.13061319425265
27,eval-hard-002,no_occlusion,hard,secondary_ablation,False,True,2,slot-027-eval-hard-002-no_occlusion/attempt/data/rounds/round-02,37,4,0,0,87,90,178,583,179,90,True,146.69419993765953
27,eval-hard-002,no_occlusion,hard,secondary_ablation,False,True,3,slot-027-eval-hard-002-no_occlusion/attempt/data/rounds/round-03,37,4,0,0,84,88,172,583,179,90,True,139.61803514231138
28,eval-hard-002,fixed,hard,secondary_baseline,False,False,1,slot-028-eval-hard-002-fixed/attempt/data/rounds/round-01,36,4,0,4,92,99,192,583,192,99,True,158.70449055540212
29,eval-easy-015,generic,easy,primary,True,False,1,slot-029-eval-easy-015-generic/attempt/data/rounds/round-01,35,5,0,5,12,99,112,582,112,99,True,121.39020982522864
29,eval-easy-015,generic,easy,primary,True,False,2,slot-029-eval-easy-015-generic/attempt/data/rounds/round-02,35,5,0,3,0,12,12,582,14,13,True,74.25900460677948
29,eval-easy-015,generic,easy,primary,True,False,3,slot-029-eval-easy-015-generic/attempt/data/rounds/round-03,35,5,3,3,0,0,0,582,1,1,True,45.04036305375344
30,eval-easy-015,ours,easy,primary,True,False,1,slot-030-eval-easy-015-ours/attempt/data/rounds/round-01,36,5,0,5,31,99,130,582,130,99,True,128.44000465183808
30,eval-easy-015,ours,easy,primary,True,False,2,slot-030-eval-easy-015-ours/attempt/data/rounds/round-02,36,5,0,5,0,31,31,582,31,31,True,77.90280075497306
30,eval-easy-015,ours,easy,primary,True,False,3,slot-030-eval-easy-015-ours/attempt/data/rounds/round-03,36,5,5,5,0,0,0,582,0,0,True,47.25043713537564
31,eval-hard-027,generic,hard,primary,False,True,1,slot-031-eval-hard-027-generic/attempt/data/rounds/round-01,37,4,0,4,79,96,178,541,178,96,True,151.58938913166637
31,eval-hard-027,generic,hard,primary,False,True,2,slot-031-eval-hard-027-generic/attempt/data/rounds/round-02,37,4,0,0,2,86,88,541,90,88,True,97.01342473793702
31,eval-hard-027,generic,hard,primary,False,True,3,slot-031-eval-hard-027-generic/attempt/data/rounds/round-03,37,4,0,0,0,3,3,541,3,3,True,59.70231944392943
32,eval-hard-027,ours,hard,primary,True,False,1,slot-032-eval-hard-027-ours/attempt/data/rounds/round-01,37,4,0,4,69,99,169,583,169,99,True,150.04816506908006
32,eval-hard-027,ours,hard,primary,True,False,2,slot-032-eval-hard-027-ours/attempt/data/rounds/round-02,37,4,0,3,0,69,69,583,70,70,True,91.40228188830662
32,eval-hard-027,ours,hard,primary,True,False,3,slot-032-eval-hard-027-ours/attempt/data/rounds/round-03,37,4,3,3,0,0,0,583,0,0,True,55.43828633295469
33,eval-easy-004,generic,easy,primary,True,False,1,slot-033-eval-easy-004-generic/attempt/data/rounds/round-01,34,5,0,5,0,99,99,624,99,99,True,108.40572159574555
33,eval-easy-004,generic,easy,primary,True,False,2,slot-033-eval-easy-004-generic/attempt/data/rounds/round-02,34,5,1,5,0,0,0,624,0,0,True,65.9900450546328
34,eval-easy-004,ours,easy,primary,False,False,1,slot-034-eval-easy-004-ours/attempt/data/rounds/round-01,34,4,0,4,0,99,99,624,99,99,True,106.19266027632028
34,eval-easy-004,ours,easy,primary,False,False,2,slot-034-eval-easy-004-ours/attempt/data/rounds/round-02,34,4,1,4,0,0,0,624,0,0,True,64.4091042940361
35,eval-easy-038,ours,easy,primary,True,False,1,slot-035-eval-easy-038-ours/attempt/data/rounds/round-01,35,5,0,5,0,107,107,623,107,107,True,105.92980413028559
35,eval-easy-038,ours,easy,primary,True,False,2,slot-035-eval-easy-038-ours/attempt/data/rounds/round-02,35,5,4,5,0,0,0,623,0,0,True,64.24967398237216
36,eval-easy-038,generic,easy,primary,True,False,1,slot-036-eval-easy-038-generic/attempt/data/rounds/round-01,35,5,0,5,0,108,108,626,108,108,True,106.8971508317224
36,eval-easy-038,generic,easy,primary,True,False,2,slot-036-eval-easy-038-generic/attempt/data/rounds/round-02,35,5,0,5,0,3,3,626,3,3,True,65.79100428953025
36,eval-easy-038,generic,easy,primary,True,False,3,slot-036-eval-easy-038-generic/attempt/data/rounds/round-03,35,5,5,5,0,0,0,626,0,0,True,40.77275692102355
37,eval-hard-009,generic,hard,primary,False,True,1,slot-037-eval-hard-009-generic/attempt/data/rounds/round-01,35,5,0,5,35,106,143,705,143,108,True,138.70286079787277
37,eval-hard-009,generic,hard,primary,False,True,2,slot-037-eval-hard-009-generic/attempt/data/rounds/round-02,35,5,0,3,0,67,67,705,67,67,True,94.68632823268304
37,eval-hard-009,generic,hard,primary,False,True,3,slot-037-eval-hard-009-generic/attempt/data/rounds/round-03,35,5,0,0,0,16,16,705,30,30,True,67.74023163839156
38,eval-hard-009,ours,hard,primary,True,False,1,slot-038-eval-hard-009-ours/attempt/data/rounds/round-01,34,5,0,5,29,106,137,705,137,108,True,135.55510607557383
38,eval-hard-009,ours,hard,primary,True,False,2,slot-038-eval-hard-009-ours/attempt/data/rounds/round-02,34,5,0,5,0,29,29,705,29,29,True,82.21832791543379
38,eval-hard-009,ours,hard,primary,True,False,3,slot-038-eval-hard-009-ours/attempt/data/rounds/round-03,34,5,5,5,0,0,0,705,0,0,True,49.86793667101769
39,eval-easy-036,generic,easy,primary,True,False,1,slot-039-eval-easy-036-generic/attempt/data/rounds/round-01,36,6,0,6,1,102,104,623,104,103,True,116.94694565833183
39,eval-easy-036,generic,easy,primary,True,False,2,slot-039-eval-easy-036-generic/attempt/data/rounds/round-02,36,6,0,6,0,2,2,623,3,3,True,71.64786175714909
39,eval-easy-036,generic,easy,primary,True,False,3,slot-039-eval-easy-036-generic/attempt/data/rounds/round-03,36,6,6,6,0,0,0,623,0,0,True,43.74612342060921
40,eval-easy-036,ours,easy,primary,True,False,1,slot-040-eval-easy-036-ours/attempt/data/rounds/round-01,35,5,0,5,0,102,102,623,102,102,True,110.61878291517081
40,eval-easy-036,ours,easy,primary,True,False,2,slot-040-eval-easy-036-ours/attempt/data/rounds/round-02,35,5,3,5,0,0,0,623,0,0,True,67.09368337814715
41,eval-moderate-025,generic,moderate,primary,True,False,1,slot-041-eval-moderate-025-generic/attempt/data/rounds/round-01,37,5,0,5,5,96,101,500,101,96,True,113.24245510292971
41,eval-moderate-025,generic,moderate,primary,True,False,2,slot-041-eval-moderate-025-generic/attempt/data/rounds/round-02,37,5,0,5,0,5,5,500,5,5,True,68.68502100105823
41,eval-moderate-025,generic,moderate,primary,True,False,3,slot-041-eval-moderate-025-generic/attempt/data/rounds/round-03,37,5,5,5,0,0,0,500,0,0,True,41.65957110014793
42,eval-moderate-025,ours,moderate,primary,True,False,1,slot-042-eval-moderate-025-ours/attempt/data/rounds/round-01,37,6,0,6,18,104,122,582,122,104,True,123.9640871863781
42,eval-moderate-025,ours,moderate,primary,True,False,2,slot-042-eval-moderate-025-ours/attempt/data/rounds/round-02,37,6,0,6,0,18,18,582,20,20,True,75.66532201891071
42,eval-moderate-025,ours,moderate,primary,True,False,3,slot-042-eval-moderate-025-ours/attempt/data/rounds/round-03,37,6,6,6,0,0,0,582,0,0,True,45.89333768149876
43,eval-hard-008,generic,hard,primary,False,True,1,slot-043-eval-hard-008-generic/attempt/data/rounds/round-01,35,5,0,5,74,102,179,624,179,102,True,154.22857308994216
43,eval-hard-008,generic,hard,primary,False,True,2,slot-043-eval-hard-008-generic/attempt/data/rounds/round-02,35,5,0,0,69,88,157,624,162,90,True,141.3475106948298
43,eval-hard-008,generic,hard,primary,False,True,3,slot-043-eval-hard-008-generic/attempt/data/rounds/round-03,35,5,0,0,68,82,150,624,155,84,True,132.19952527991447
44,eval-hard-008,ours,hard,primary,True,False,1,slot-044-eval-hard-008-ours/attempt/data/rounds/round-01,36,5,0,5,88,102,190,624,190,102,True,156.95020517339054
44,eval-hard-008,ours,hard,primary,True,False,2,slot-044-eval-hard-008-ours/attempt/data/rounds/round-02,36,5,0,5,0,88,88,624,88,88,True,95.19511148584975
44,eval-hard-008,ours,hard,primary,True,False,3,slot-044-eval-hard-008-ours/attempt/data/rounds/round-03,36,5,3,3,0,0,0,624,0,0,True,60.747317674447444
45,eval-easy-014,ours,easy,primary,True,False,1,slot-045-eval-easy-014-ours/attempt/data/rounds/round-01,32,6,0,6,14,105,120,542,120,105,True,128.20980180436652
45,eval-easy-014,ours,easy,primary,True,False,2,slot-045-eval-easy-014-ours/attempt/data/rounds/round-02,32,6,0,6,0,14,14,542,15,15,True,77.76317567002842
45,eval-easy-014,ours,easy,primary,True,False,3,slot-045-eval-easy-014-ours/attempt/data/rounds/round-03,32,6,6,6,0,0,0,542,0,0,True,47.16575024049174
46,eval-easy-014,generic,easy,primary,False,True,1,slot-046-eval-easy-014-generic/attempt/data/rounds/round-01,33,7,0,7,20,102,123,501,123,102,True,131.57061784609073
46,eval-easy-014,generic,easy,primary,False,True,2,slot-046-eval-easy-014-generic/attempt/data/rounds/round-02,33,7,0,0,1,29,31,501,32,30,True,83.45236694405723
46,eval-easy-014,generic,easy,primary,False,True,3,slot-046-eval-easy-014-generic/attempt/data/rounds/round-03,33,7,0,0,0,1,1,501,2,2,True,50.90591773920581
47,eval-hard-023,ours,hard,primary,False,True,1,slot-047-eval-hard-023-ours/attempt/data/rounds/round-01,37,6,0,6,78,102,180,581,180,102,True,157.58938913166637
47,eval-hard-023,ours,hard,primary,False,True,2,slot-047-eval-hard-023-ours/attempt/data/rounds/round-02,37,6,0,0,2,80,82,581,82,80,True,103.22637981279051
47,eval-hard-023,ours,hard,primary,False,True,3,slot-047-eval-hard-023-ours/attempt/data/rounds/round-03,37,6,0,0,0,3,3,581,3,3,True,69.74380466014671
48,eval-hard-023,generic,hard,primary,False,True,1,slot-048-eval-hard-023-generic/attempt/data/rounds/round-01,37,5,0,5,65,102,168,582,168,103,True,143.08081836764322
48,eval-hard-023,generic,hard,primary,False,True,2,slot-048-eval-hard-023-generic/attempt/data/rounds/round-02,37,5,0,0,6,77,84,582,84,77,True,98.23205824061533
48,eval-hard-023,generic,hard,primary,False,True,3,slot-048-eval-hard-023-generic/attempt/data/rounds/round-03,37,5,0,0,6,16,22,582,22,16,True,70.06523645858752
49,eval-hard-024,ours,hard,primary,True,False,1,slot-049-eval-hard-024-ours/attempt/data/rounds/round-01,33,5,0,5,62,106,169,706,169,106,True,148.53959430505694
49,eval-hard-024,ours,hard,primary,True,False,2,slot-049-eval-hard-024-ours/attempt/data/rounds/round-02,33,5,0,5,0,62,62,706,63,63,True,90.0938181272931
49,eval-hard-024,ours,hard,primary,True,False,3,slot-049-eval-hard-024-ours/attempt/data/rounds/round-03,33,5,5,5,0,0,0,706,0,0,True,54.78941222580011
50,eval-hard-024,generic,hard,primary,False,True,1,slot-050-eval-hard-024-generic/attempt/data/rounds/round-01,36,7,0,7,53,105,160,745,160,107,True,158.42449288132116
50,eval-hard-024,generic,hard,primary,False,True,2,slot-050-eval-hard-024-generic/attempt/data/rounds/round-02,36,7,0,7,0,74,74,745,76,76,True,103.72615117526524
50,eval-hard-024,generic,hard,primary,False,True,3,slot-050-eval-hard-024-generic/attempt/data/rounds/round-03,36,7,0,0,0,35,35,745,49,49,True,84.87270491051113
51,eval-moderate-018,generic,moderate,primary,True,False,1,slot-051-eval-moderate-018-generic/attempt/data/rounds/round-01,33,3,0,3,0,106,106,584,106,106,True,93.19266027632028
51,eval-moderate-018,generic,moderate,primary,True,False,2,slot-051-eval-moderate-018-generic/attempt/data/rounds/round-02,33,3,0,3,0,2,2,584,2,2,True,57.24015937339544
51,eval-moderate-018,generic,moderate,primary,True,False,3,slot-051-eval-moderate-018-generic/attempt/data/rounds/round-03,33,3,2,2,0,0,0,584,0,0,True,35.246061407389035
52,eval-moderate-018,ours,moderate,primary,True,False,1,slot-052-eval-moderate-018-ours/attempt/data/rounds/round-01,33,3,0,3,0,106,106,584,106,106,True,92.79919093603291
52,eval-moderate-018,ours,moderate,primary,True,False,2,slot-052-eval-moderate-018-ours/attempt/data/rounds/round-02,33,3,3,3,0,0,0,584,0,0,True,56.28555449923067
53,eval-hard-012,ours,hard,primary,False,True,1,slot-053-eval-hard-012-ours/attempt/data/rounds/round-01,37,5,0,5,60,96,159,582,159,99,True,148.08081836764322
53,eval-hard-012,ours,hard,primary,False,True,2,slot-053-eval-hard-012-ours/attempt/data/rounds/round-02,37,5,0,0,8,67,76,582,76,67,True,101.01321224879345
53,eval-hard-012,ours,hard,primary,False,True,3,slot-053-eval-hard-012-ours/attempt/data/rounds/round-03,37,5,0,0,1,14,15,582,15,14,True,73.61323326987561
54,eval-hard-012,generic,hard,primary,False,True,1,slot-054-eval-hard-012-generic/attempt/data/rounds/round-01,37,5,0,5,59,96,158,582,158,99,True,147.68734902735585
54,eval-hard-012,generic,hard,primary,False,True,2,slot-054-eval-hard-012-generic/attempt/data/rounds/round-02,37,5,0,0,43,96,139,582,145,96,True,130.99397054169643
54,eval-hard-012,generic,hard,primary,False,True,3,slot-054-eval-hard-012-generic/attempt/data/rounds/round-03,37,5,0,0,9,61,70,582,70,61,True,102.45969877924554
55,eval-moderate-008,ours,moderate,primary,True,False,1,slot-055-eval-moderate-008-ours/attempt/data/rounds/round-01,31,3,0,3,1,106,107,625,107,106,True,96.12735367919394
55,eval-moderate-008,ours,moderate,primary,True,False,2,slot-055-eval-moderate-008-ours/attempt/data/rounds/round-02,31,3,0,3,0,2,2,625,2,2,True,58.542838462012334
55,eval-moderate-008,ours,moderate,primary,True,False,3,slot-055-eval-moderate-008-ours/attempt/data/rounds/round-03,31,3,3,3,0,0,0,625,0,0,True,35.65277571483748
56,eval-moderate-008,generic,moderate,primary,True,False,1,slot-056-eval-moderate-008-generic/attempt/data/rounds/round-01,33,4,0,4,0,106,106,625,106,106,True,95.61878291517081
56,eval-moderate-008,generic,moderate,primary,True,False,2,slot-056-eval-moderate-008-generic/attempt/data/rounds/round-02,33,4,0,4,0,1,1,625,3,3,True,58.47302591954002
56,eval-moderate-008,generic,moderate,primary,True,False,3,slot-056-eval-moderate-008-generic/attempt/data/rounds/round-03,33,4,4,4,0,0,0,625,0,0,True,35.75518154841855
57,eval-hard-030,ours,hard,primary,True,False,1,slot-057-eval-hard-030-ours/attempt/data/rounds/round-01,35,5,0,5,84,106,192,705,192,108,True,159.76979715252847
57,eval-hard-030,ours,hard,primary,True,False,2,slot-057-eval-hard-030-ours/attempt/data/rounds/round-02,35,5,0,5,0,84,84,705,84,84,True,96.90528046907671
57,eval-hard-030,ours,hard,primary,True,False,3,slot-057-eval-hard-030-ours/attempt/data/rounds/round-03,35,5,4,4,0,0,0,705,0,0,True,59.014674911088065
