slot,scene,method,tier,role,retrieval_success,confirmation_failure,from_round,to_round,historical_view_id,model_all_phase_hit_cells,all_phase_actual_miss_cells,model_any_phase_hit_cells,any_phase_actual_miss_cells,actual_hit_cells,actual_outside_model_cells,needed_cells,needed_all_phase_hits,needed_all_phase_misses,needed_actual_hits,predicted_confirmation_all_phase,predicted_confirmation_any_phase,actual_prior_candidate_support_complete,actual_confirmation,newly_blocked_prior_viable,all_phase_candidate_support_false_positive
20,eval-moderate-026,ours,moderate,primary,True,False,1,2,41,936,4,1048,27,1203,182,169,167,0,169,False,False,False,False,0,0
20,eval-moderate-026,ours,moderate,primary,True,False,2,3,0,1023,19,1152,23,1237,108,33,30,0,33,True,True,True,True,0,0
21,eval-hard-006,generic,hard,primary,False,True,1,2,1,847,10,940,23,1042,125,169,121,2,137,False,False,False,False,0,0
21,eval-hard-006,generic,hard,primary,False,True,2,3,0,834,13,936,15,1063,142,123,91,2,93,False,False,False,False,0,0
22,eval-hard-006,ours,hard,primary,True,False,1,2,82,564,6,595,6,788,199,169,155,0,169,False,False,False,False,0,0
22,eval-hard-006,ours,hard,primary,True,False,2,3,0,605,21,658,26,786,154,92,91,1,91,True,True,True,True,0,1
23,eval-hard-002,ours,hard,primary,True,False,1,2,41,742,0,775,4,953,182,160,160,0,160,False,False,False,False,0,0
23,eval-hard-002,ours,hard,primary,True,False,2,3,0,768,0,792,0,965,173,141,141,0,141,True,True,True,True,0,0
24,eval-hard-002,generic,hard,primary,True,False,1,2,1,830,14,912,18,1025,131,165,158,0,165,False,False,False,False,0,0
24,eval-hard-002,generic,hard,primary,True,False,2,3,0,805,10,893,12,1037,156,147,139,1,146,False,False,True,True,0,0
26,eval-hard-002,no_cost,hard,secondary_ablation,True,False,1,2,41,703,29,731,31,848,148,163,163,0,163,False,False,False,False,0,0
26,eval-hard-002,no_cost,hard,secondary_ablation,True,False,2,3,0,676,6,703,7,963,267,144,144,0,144,True,True,True,True,0,0
27,eval-hard-002,no_occlusion,hard,secondary_ablation,False,True,1,2,57,387,1,418,1,658,241,165,7,0,34,False,False,False,False,0,0
27,eval-hard-002,no_occlusion,hard,secondary_ablation,False,True,2,3,0,479,17,503,19,661,177,146,2,0,18,False,False,False,False,0,0
29,eval-easy-015,generic,easy,primary,True,False,1,2,33,1416,34,1566,54,1546,34,169,126,1,167,False,False,False,False,0,0
29,eval-easy-015,generic,easy,primary,True,False,2,3,9,1491,11,1568,12,1585,29,49,49,0,49,True,True,True,True,0,0
30,eval-easy-015,ours,easy,primary,True,False,1,2,49,1143,2,1179,4,1302,127,167,166,0,167,False,False,False,False,0,0
30,eval-easy-015,ours,easy,primary,True,False,2,3,0,1239,28,1273,29,1291,47,70,70,0,70,True,True,True,True,0,0
31,eval-hard-027,generic,hard,primary,False,True,1,2,1,857,8,981,15,1080,114,163,120,0,145,False,False,False,False,0,0
31,eval-hard-027,generic,hard,primary,False,True,2,3,1,854,18,1008,36,1081,109,147,127,0,144,False,False,False,False,0,0
32,eval-hard-027,ours,hard,primary,True,False,1,2,41,767,1,805,1,948,144,165,146,0,164,False,False,False,False,0,0
32,eval-hard-027,ours,hard,primary,True,False,2,3,34,873,12,960,17,1118,175,127,124,0,127,True,True,True,True,0,0
33,eval-easy-004,generic,easy,primary,True,False,1,2,17,1527,7,1572,9,1590,27,169,159,1,168,False,False,True,True,0,0
34,eval-easy-004,ours,easy,primary,False,False,1,2,57,1183,2,1204,2,1288,86,166,160,0,166,False,False,True,True,0,0
35,eval-easy-038,ours,easy,primary,True,False,1,2,82,1073,1,1106,3,1202,99,174,165,0,174,False,False,True,True,0,0
36,eval-easy-038,generic,easy,primary,True,False,1,2,1,1383,27,1579,55,1539,15,173,162,3,169,False,False,False,False,0,0
36,eval-easy-038,generic,easy,primary,True,False,2,3,1,1464,23,1567,28,1567,28,9,9,0,9,True,True,True,True,0,0
37,eval-hard-009,generic,hard,primary,False,True,1,2,1,891,15,987,25,1071,109,169,109,1,128,False,False,False,False,0,0
37,eval-hard-009,generic,hard,primary,False,True,2,3,0,899,11,989,13,1090,114,128,83,1,88,False,False,False,False,0,0
38,eval-hard-009,ours,hard,primary,True,False,1,2,82,622,0,649,0,874,225,169,163,0,169,False,False,False,False,0,0
38,eval-hard-009,ours,hard,primary,True,False,2,3,0,689,26,730,28,867,165,84,80,0,84,False,True,True,True,0,0
39,eval-easy-036,generic,easy,primary,True,False,1,2,17,1506,20,1559,20,1577,38,174,163,1,171,False,False,False,False,0,0
39,eval-easy-036,generic,easy,primary,True,False,2,3,17,1471,21,1572,27,1571,26,33,32,0,33,True,True,True,True,0,0
40,eval-easy-036,ours,easy,primary,True,False,1,2,49,1179,6,1224,12,1323,111,172,172,0,172,True,True,True,True,0,0
41,eval-moderate-025,generic,moderate,primary,True,False,1,2,1,1036,13,1147,15,1250,118,164,161,0,164,False,False,False,False,0,0
41,eval-moderate-025,generic,moderate,primary,True,False,2,3,0,1034,20,1150,29,1231,110,35,35,0,35,True,True,True,True,0,0
42,eval-moderate-025,ours,moderate,primary,True,False,1,2,42,966,13,1046,19,1191,164,170,160,2,168,False,False,False,False,0,0
42,eval-moderate-025,ours,moderate,primary,True,False,2,3,8,1023,16,1114,18,1241,145,55,55,0,55,True,True,True,True,0,0
43,eval-hard-008,generic,hard,primary,False,True,1,2,33,920,6,947,7,1077,137,168,8,0,41,False,False,False,False,0,0
43,eval-hard-008,generic,hard,primary,False,True,2,3,0,914,6,957,9,1076,128,147,0,0,23,False,False,False,False,0,0
44,eval-hard-008,ours,hard,primary,True,False,1,2,41,654,3,678,3,845,170,166,155,0,166,False,False,False,False,0,0
44,eval-hard-008,ours,hard,primary,True,False,2,3,42,601,21,633,25,773,165,143,137,7,131,True,True,True,True,0,1
45,eval-easy-014,ours,easy,primary,True,False,1,2,49,1095,4,1138,6,1241,109,177,174,0,177,False,False,False,False,0,0
45,eval-easy-014,ours,easy,primary,True,False,2,3,0,1163,24,1218,25,1244,51,53,53,0,53,True,True,True,True,0,0
46,eval-easy-014,generic,easy,primary,False,True,1,2,33,1392,42,1548,62,1533,47,178,127,5,164,False,False,False,False,0,0
46,eval-easy-014,generic,easy,primary,False,True,2,3,9,1485,8,1563,8,1588,33,73,70,0,73,False,False,False,False,0,0
47,eval-hard-023,ours,hard,primary,False,True,1,2,41,742,8,771,9,931,169,169,131,0,148,False,False,False,False,0,0
47,eval-hard-023,ours,hard,primary,False,True,2,3,42,669,21,710,22,821,133,144,121,11,118,False,False,False,False,0,0
48,eval-hard-023,generic,hard,primary,False,True,1,2,1,826,11,938,19,1082,163,160,100,1,125,False,False,False,False,0,0
48,eval-hard-023,generic,hard,primary,False,True,2,3,0,820,12,946,17,1081,152,132,91,0,101,False,False,False,False,0,0
49,eval-hard-024,ours,hard,primary,True,False,1,2,82,560,1,600,2,838,240,169,161,0,169,False,False,False,False,0,0
49,eval-hard-024,ours,hard,primary,True,False,2,3,0,617,0,670,1,938,269,117,113,0,117,False,True,True,True,0,0
50,eval-hard-024,generic,hard,primary,False,True,1,2,1,834,9,935,19,1064,148,184,128,2,152,False,False,False,False,0,0
50,eval-hard-024,generic,hard,primary,False,True,2,3,1,790,19,857,22,979,144,151,53,2,79,False,False,False,False,0,0
51,eval-moderate-018,generic,moderate,primary,True,False,1,2,1,1111,23,1262,53,1281,72,153,141,2,150,False,True,False,False,0,0
51,eval-moderate-018,generic,moderate,primary,True,False,2,3,0,1109,8,1261,17,1319,75,4,3,0,3,True,True,True,True,0,0
52,eval-moderate-018,ours,moderate,primary,True,False,1,2,49,878,6,904,8,991,95,153,145,0,153,False,False,True,True,0,0
53,eval-hard-012,ours,hard,primary,False,True,1,2,41,619,2,658,2,832,176,165,121,0,133,False,False,False,False,0,0
53,eval-hard-012,ours,hard,primary,False,True,2,3,41,465,8,496,9,620,133,131,89,4,89,False,False,False,False,0,0
54,eval-hard-012,generic,hard,primary,False,True,1,2,33,907,2,940,2,1109,171,165,2,0,44,False,False,False,False,0,0
54,eval-hard-012,generic,hard,primary,False,True,2,3,56,976,17,1066,22,1150,106,161,65,0,86,False,False,False,False,0,0
55,eval-moderate-008,ours,moderate,primary,True,False,1,2,41,951,6,1064,21,1172,129,152,147,1,151,False,False,False,False,0,0
55,eval-moderate-008,ours,moderate,primary,True,False,2,3,0,1023,4,1142,9,1307,174,12,12,0,12,True,True,True,True,0,0
56,eval-moderate-008,generic,moderate,primary,True,False,1,2,1,1168,29,1309,38,1322,51,157,145,2,154,False,False,False,False,0,0
56,eval-moderate-008,generic,moderate,primary,True,False,2,3,0,1162,17,1313,22,1347,56,4,3,0,4,True,True,True,True,0,0
57,eval-hard-030,ours,hard,primary,True,False,1,2,41,739,5,776,5,931,160,170,161,0,170,False,False,False,False,0,0
57,eval-hard-030,ours,hard,primary,True,False,2,3,42,659,25,704,25,846,167,146,146,1,145,True,True,True,True,0,1
58,eval-hard-030,generic,hard,primary,False,True,1,2,1,892,18,968,26,1079,137,170,143,2,154,False,False,False,False,0,0
58,eval-hard-030,generic,hard,primary,False,True,2,3,0,869,12,967,21,1092,146,150,131,2,138,False,False,False,False,0,0
59,eval-easy-034,generic,easy,primary,True,False,1,2,25,1500,22,1555,28,1566,39,175,167,2,172,False,False,False,False,0,0
59,eval-easy-034,generic,easy,primary,True,False,2,3,0,1474,20,1559,26,1569,36,53,52,0,52,True,True,True,True,0,0
60,eval-easy-034,ours,easy,primary,True,False,1,2,57,1120,4,1132,4,1268,140,175,174,0,175,False,False,False,False,0,0
60,eval-easy-034,ours,easy,primary,True,False,2,3,0,1224,8,1239,8,1279,48,60,60,0,60,True,True,True,True,0,0
61,eval-moderate-011,ours,moderate,primary,True,False,1,2,41,955,1,1067,2,1203,138,163,162,0,163,False,False,False,False,0,0
61,eval-moderate-011,ours,moderate,primary,True,False,2,3,0,995,17,1101,17,1201,117,46,44,0,46,True,True,True,True,0,0
62,eval-moderate-011,generic,moderate,primary,True,False,1,2,1,1083,19,1230,41,1299,110,171,169,2,169,False,False,False,False,0,0
62,eval-moderate-011,generic,moderate,primary,True,False,2,3,0,1073,13,1234,17,1327,110,49,49,0,49,True,True,True,True,0,0
63,eval-easy-026,generic,easy,primary,True,False,1,2,25,1506,31,1576,34,1564,22,167,157,1,166,False,False,False,False,0,0
63,eval-easy-026,generic,easy,primary,True,False,2,3,0,1488,35,1585,41,1559,15,27,27,0,27,True,True,True,True,0,0
64,eval-easy-026,ours,easy,primary,True,False,1,2,41,1153,19,1253,28,1272,47,169,164,0,169,False,False,False,False,0,0
64,eval-easy-026,ours,easy,primary,True,False,2,3,0,1180,42,1278,44,1288,54,24,22,0,24,True,True,True,True,0,0
65,eval-easy-019,generic,easy,primary,True,False,1,2,9,1477,17,1564,25,1571,32,169,152,1,167,False,False,False,False,0,0
65,eval-easy-019,generic,easy,primary,True,False,2,3,0,1469,11,1563,15,1582,34,3,1,0,3,False,False,True,True,0,0
66,eval-easy-019,ours,easy,primary,True,False,1,2,81,851,14,890,16,914,40,169,160,2,162,False,True,True,True,0,0
67,eval-easy-013,ours,easy,primary,True,False,1,2,41,1196,7,1290,7,1356,73,169,163,1,168,False,False,False,False,0,0
67,eval-easy-013,ours,easy,primary,True,False,2,3,58,1256,21,1291,23,1316,48,21,21,0,21,True,True,True,True,0,0
68,eval-easy-013,generic,easy,primary,True,False,1,2,9,1481,14,1565,19,1580,34,154,142,1,152,False,False,False,False,0,0
68,eval-easy-013,generic,easy,primary,True,False,2,3,0,1491,7,1575,9,1590,24,3,2,0,3,False,False,True,True,0,0
69,eval-hard-004,generic,hard,primary,False,True,1,2,33,901,8,935,8,1085,158,176,14,0,40,False,False,False,False,0,0
69,eval-hard-004,generic,hard,primary,False,True,2,3,0,910,10,945,14,1077,146,155,1,0,23,False,False,False,False,0,0
70,eval-hard-004,ours,hard,primary,True,False,1,2,41,658,3,683,3,825,145,179,157,0,176,False,False,False,False,0,0
70,eval-hard-004,ours,hard,primary,True,False,2,3,42,587,6,608,6,778,176,156,151,1,152,True,True,True,True,0,0
71,eval-hard-004,no_occlusion,hard,secondary_ablation,False,True,1,2,57,379,0,394,0,635,241,175,0,0,43,False,False,False,False,0,0
71,eval-hard-004,no_occlusion,hard,secondary_ablation,False,True,2,3,0,424,14,447,16,627,196,158,0,0,25,False,False,False,False,0,0
72,eval-hard-004,no_cost,hard,secondary_ablation,True,False,1,2,41,678,0,699,0,836,137,179,161,0,177,False,False,False,False,0,0
72,eval-hard-004,no_cost,hard,secondary_ablation,True,False,2,3,42,575,16,613,18,774,179,155,140,6,140,False,True,True,True,0,0
73,eval-easy-016,ours,easy,primary,True,False,1,2,82,1090,2,1121,3,1210,92,172,163,0,172,True,True,True,True,0,0
74,eval-easy-016,generic,easy,primary,False,True,1,2,17,1510,11,1556,15,1577,36,172,140,1,163,False,False,False,False,0,0
74,eval-easy-016,generic,easy,primary,False,True,2,3,0,1482,9,1557,11,1585,39,9,2,0,6,False,False,False,False,0,0
75,eval-moderate-002,generic,moderate,primary,False,False,1,2,2,928,9,1011,12,1150,151,108,96,0,108,False,False,False,False,0,0
75,eval-moderate-002,generic,moderate,primary,False,False,2,3,0,986,14,1070,14,1155,99,103,90,0,103,False,True,True,True,0,0
76,eval-moderate-002,ours,moderate,primary,True,False,1,2,57,594,0,602,0,706,104,167,167,0,167,False,False,False,False,0,0
76,eval-moderate-002,ours,moderate,primary,True,False,2,3,0,648,15,659,16,701,58,71,70,0,71,True,True,True,True,0,0
78,eval-moderate-002,fixed,moderate,secondary_baseline,False,True,1,2,0,446,74,464,87,555,178,170,80,0,164,False,False,False,False,0,0
78,eval-moderate-002,fixed,moderate,secondary_baseline,False,True,2,3,0,379,27,383,27,509,153,53,0,0,0,False,False,False,False,0,0
79,eval-easy-037,ours,easy,primary,True,False,1,2,81,935,0,987,0,1053,66,157,153,0,156,True,True,True,True,0,0
80,eval-easy-037,generic,easy,primary,True,False,1,2,9,1488,17,1565,23,1576,34,153,140,0,153,False,False,True,True,0,0
81,eval-moderate-015,ours,moderate,primary,False,False,1,2,41,856,2,950,7,1030,87,175,168,0,175,False,False,False,False,0,0
81,eval-moderate-015,ours,moderate,primary,False,False,2,3,0,882,32,973,38,1019,84,36,35,0,36,True,True,True,True,0,0
82,eval-moderate-015,generic,moderate,primary,False,True,1,2,33,963,24,1055,34,1107,86,170,31,2,57,False,False,False,False,0,0
82,eval-moderate-015,generic,moderate,primary,False,True,2,3,0,959,8,1067,15,1126,74,127,5,0,21,False,False,False,False,0,0
83,eval-easy-027,generic,easy,primary,False,True,1,2,9,1475,16,1576,24,1574,22,107,94,0,106,False,False,False,False,0,0
83,eval-easy-027,generic,easy,primary,False,True,2,3,0,1478,7,1573,12,1585,24,1,0,0,0,False,False,False,False,0,0
84,eval-easy-027,ours,easy,primary,True,False,1,2,81,865,7,925,7,959,41,153,142,0,152,False,True,True,True,0,0
85,eval-easy-003,generic,easy,primary,True,False,1,2,1,1392,18,1561,33,1562,34,169,163,1,166,True,True,False,False,0,1
85,eval-easy-003,generic,easy,primary,True,False,2,3,1,1476,21,1579,32,1566,19,18,16,0,17,True,True,True,True,0,0
86,eval-easy-003,ours,easy,primary,True,False,1,2,41,1145,8,1249,25,1269,45,170,156,1,169,False,False,False,False,0,0
86,eval-easy-003,ours,easy,primary,True,False,2,3,0,1192,52,1302,56,1272,26,18,18,0,18,True,True,True,True,0,0
87,eval-moderate-010,generic,moderate,primary,True,False,1,2,1,1098,26,1250,56,1284,90,175,164,4,169,False,True,False,False,0,0
87,eval-moderate-010,generic,moderate,primary,True,False,2,3,0,1082,19,1250,29,1327,106,11,9,0,10,True,True,True,True,0,0
88,eval-moderate-010,ours,moderate,primary,True,False,1,2,41,988,10,1108,21,1198,111,173,159,0,172,False,True,True,True,0,0
89,eval-easy-029,generic,easy,primary,True,False,1,2,17,1522,9,1589,10,1590,11,176,161,0,176,False,False,True,True,0,0
90,eval-easy-029,ours,easy,primary,True,False,1,2,41,1178,15,1290,34,1298,42,172,167,1,171,False,True,True,True,0,0
91,eval-hard-010,generic,hard,primary,False,True,1,2,1,928,7,1046,26,1131,111,170,142,0,156,False,False,False,False,0,0
91,eval-hard-010,generic,hard,primary,False,True,2,3,0,933,12,1047,17,1152,122,158,139,2,144,False,False,False,False,0,0
92,eval-hard-010,ours,hard,primary,True,False,1,2,41,792,3,816,3,989,176,164,155,0,161,False,False,False,False,0,0
92,eval-hard-010,ours,hard,primary,True,False,2,3,42,687,11,727,12,896,181,124,119,1,123,False,True,True,True,0,0
93,eval-easy-023,generic,easy,primary,True,False,1,2,25,1503,41,1562,43,1553,34,177,170,3,174,False,False,False,False,0,0
93,eval-easy-023,generic,easy,primary,True,False,2,3,0,1458,17,1559,24,1569,34,36,36,0,36,True,True,True,True,0,0
94,eval-easy-023,ours,easy,primary,True,False,1,2,57,1221,12,1238,12,1361,135,176,175,0,176,False,False,False,False,0,0
94,eval-easy-023,ours,easy,primary,True,False,2,3,0,1319,26,1339,27,1360,48,43,43,0,43,True,True,True,True,0,0
95,eval-easy-002,generic,easy,primary,False,True,1,2,17,1505,17,1559,18,1576,35,172,143,1,166,False,False,False,False,0,0
95,eval-easy-002,generic,easy,primary,False,True,2,3,0,1505,19,1558,21,1571,34,6,1,0,2,False,False,False,False,0,0
96,eval-easy-002,ours,easy,primary,True,False,1,2,81,905,0,956,2,1075,121,177,168,0,177,True,True,True,True,0,0
97,eval-easy-002,fixed,easy,secondary_baseline,True,False,1,2,0,814,0,828,0,1177,349,177,144,0,177,False,False,True,True,0,0
99,eval-moderate-028,ours,moderate,primary,True,False,1,2,41,918,13,1004,19,1117,132,165,164,0,165,False,False,False,False,0,0
99,eval-moderate-028,ours,moderate,primary,True,False,2,3,0,943,48,1054,52,1098,96,46,44,0,46,False,True,True,True,0,0
100,eval-moderate-028,generic,moderate,primary,True,False,1,2,1,1113,17,1237,34,1331,128,165,164,0,165,False,False,False,False,0,0
100,eval-moderate-028,generic,moderate,primary,True,False,2,3,0,1099,14,1248,23,1342,117,36,36,0,36,True,True,True,True,0,0
101,eval-hard-028,generic,hard,primary,False,True,1,2,33,893,22,977,38,1077,138,163,34,3,58,False,False,False,False,0,0
101,eval-hard-028,generic,hard,primary,False,True,2,3,9,835,1,900,3,1015,118,159,55,0,82,False,False,False,False,0,0
102,eval-hard-028,ours,hard,primary,True,False,1,2,41,683,2,723,2,868,147,161,143,0,159,False,False,False,False,0,0
102,eval-hard-028,ours,hard,primary,True,False,2,3,42,607,30,642,31,739,128,130,127,6,123,False,True,True,True,0,0
103,eval-moderate-013,ours,moderate,primary,True,False,1,2,82,928,0,958,0,1100,142,162,158,0,162,False,True,True,True,0,0
104,eval-moderate-013,generic,moderate,primary,True,False,1,2,1,1135,19,1270,45,1286,61,173,164,2,171,False,False,False,False,0,0
104,eval-moderate-013,generic,moderate,primary,True,False,2,3,0,1139,11,1286,20,1320,54,21,20,0,21,True,True,True,True,0,0
105,eval-hard-017,ours,hard,primary,True,False,1,2,41,767,3,805,5,924,124,168,132,0,156,False,False,False,False,0,0
105,eval-hard-017,ours,hard,primary,True,False,2,3,41,564,0,595,1,790,196,137,114,0,137,False,False,True,True,0,0
106,eval-hard-017,generic,hard,primary,False,True,1,2,1,867,14,997,27,1109,139,156,109,1,131,False,False,False,False,0,0
106,eval-hard-017,generic,hard,primary,False,True,2,3,0,851,10,996,30,1101,135,141,102,1,119,False,False,False,False,0,0
107,eval-easy-031,generic,easy,primary,True,False,1,2,25,1496,40,1571,43,1553,25,169,159,3,165,False,False,False,False,0,0
107,eval-easy-031,generic,easy,primary,True,False,2,3,0,1471,16,1568,20,1577,29,31,30,0,30,True,True,True,True,0,0
108,eval-easy-031,ours,easy,primary,True,False,1,2,49,1167,8,1228,13,1295,80,170,168,0,170,False,False,False,False,0,0
108,eval-easy-031,ours,easy,primary,True,False,2,3,0,1226,19,1288,20,1311,43,24,24,0,24,True,True,True,True,0,0
109,eval-moderate-001,ours,moderate,primary,True,False,1,2,41,848,8,952,13,1050,111,165,157,1,164,False,False,False,False,0,0
109,eval-moderate-001,ours,moderate,primary,True,False,2,3,0,855,35,963,42,1046,125,26,26,0,26,True,True,True,True,0,0
110,eval-moderate-001,generic,moderate,primary,True,False,1,2,1,1057,18,1154,26,1240,112,168,161,1,167,False,False,False,False,0,0
110,eval-moderate-001,generic,moderate,primary,True,False,2,3,0,1065,11,1166,11,1258,103,38,38,0,38,True,True,True,True,0,0
113,eval-moderate-009,generic,moderate,primary,True,False,1,2,1,1139,20,1269,47,1322,100,170,161,3,167,True,True,False,False,0,1
113,eval-moderate-009,generic,moderate,primary,True,False,2,3,0,1128,20,1274,31,1351,108,9,9,0,9,True,True,True,True,0,0
114,eval-moderate-009,ours,moderate,primary,True,False,1,2,49,906,5,930,5,1025,100,170,161,0,170,False,False,True,True,0,0
115,eval-hard-026,generic,hard,primary,True,False,1,2,1,860,9,936,18,1052,134,165,148,0,152,False,False,False,False,0,0
115,eval-hard-026,generic,hard,primary,True,False,2,3,0,840,12,939,18,1068,147,148,131,0,138,False,False,True,True,0,0
116,eval-hard-026,ours,hard,primary,True,False,1,2,41,753,4,787,5,922,140,165,157,0,165,False,False,False,False,0,0
116,eval-hard-026,ours,hard,primary,True,False,2,3,0,777,32,825,34,931,140,141,139,0,141,True,True,True,True,0,0
117,eval-easy-035,ours,easy,primary,True,False,1,2,49,1167,9,1210,11,1282,83,164,162,0,164,True,True,True,True,0,0
118,eval-easy-035,generic,easy,primary,True,False,1,2,25,1502,39,1578,44,1554,20,174,159,4,168,False,False,False,False,0,0
118,eval-easy-035,generic,easy,primary,True,False,2,3,9,1506,9,1578,10,1590,22,24,22,0,24,True,True,True,True,0,0
121,eval-hard-020,ours,hard,primary,False,True,1,2,41,475,3,489,4,641,156,165,97,0,119,False,False,False,False,1,0
121,eval-hard-020,ours,hard,primary,False,True,2,3,58,759,1,786,1,917,132,157,130,0,147,False,False,False,False,0,0
122,eval-hard-020,generic,hard,primary,False,True,1,2,40,925,2,968,3,1143,178,194,32,0,61,False,False,False,False,0,0
122,eval-hard-020,generic,hard,primary,False,True,2,3,0,1016,18,1065,23,1117,75,190,30,0,62,False,False,False,False,0,0
123,eval-easy-024,ours,easy,primary,True,False,1,2,49,1161,6,1227,11,1284,68,178,167,0,178,False,False,True,True,0,0
124,eval-easy-024,generic,easy,primary,False,True,1,2,9,1485,25,1570,33,1565,28,175,156,6,168,False,False,False,False,0,0
124,eval-easy-024,generic,easy,primary,False,True,2,3,0,1466,10,1572,15,1581,24,24,23,0,23,False,False,False,False,0,0
125,eval-moderate-020,generic,moderate,primary,True,False,1,2,1,1066,30,1243,69,1265,91,160,157,0,159,True,True,True,True,0,0
