scene,generic_slot,generic_retrieval,generic_round1_confirmed,generic_round1_minimum_missing_cells,generic_round1_fixed_missing_tickets,generic_round1_fixed_viable,generic_round2_confirmed,generic_round2_minimum_missing_cells,generic_round2_fixed_missing_tickets,generic_round2_fixed_viable,generic_round3_confirmed,generic_round3_minimum_missing_cells,generic_round3_fixed_missing_tickets,generic_round3_fixed_viable,ours_slot,ours_retrieval,ours_round1_confirmed,ours_round1_minimum_missing_cells,ours_round1_fixed_missing_tickets,ours_round1_fixed_viable,ours_round2_confirmed,ours_round2_minimum_missing_cells,ours_round2_fixed_missing_tickets,ours_round2_fixed_viable,ours_round3_confirmed,ours_round3_minimum_missing_cells,ours_round3_fixed_missing_tickets,ours_round3_fixed_viable
eval-easy-017,178,True,0,88,90,True,0,3,7,True,5,0,0,True,177,True,0,88,88,True,3,0,0,True,,,,
eval-easy-018,132,True,0,105,105,True,3,0,0,True,,,,,131,True,0,105,105,True,3,0,0,True,,,,
eval-easy-019,65,True,0,107,107,True,0,1,1,True,5,0,0,True,66,True,0,105,105,True,3,0,0,True,,,,
eval-easy-020,204,True,0,102,102,True,1,0,0,True,,,,,203,True,0,102,112,True,0,5,6,True,5,0,0,True
eval-easy-021,161,True,0,103,103,True,1,0,2,True,,,,,162,True,0,105,108,True,1,0,0,True,,,,
eval-easy-022,189,True,0,99,99,True,1,0,0,True,,,,,190,True,0,99,99,True,1,0,0,True,,,,
eval-easy-023,93,True,0,102,105,True,0,4,4,True,6,0,0,True,94,True,0,101,108,True,0,6,6,True,7,0,0,True
eval-easy-024,124,False,0,107,110,True,0,5,5,True,0,1,1,True,123,True,0,105,108,True,3,0,0,True,,,,
eval-easy-025,182,True,0,103,106,True,0,1,1,True,4,0,0,True,181,True,0,103,109,True,0,2,2,True,5,0,0,True
eval-easy-026,63,True,0,96,97,True,0,1,1,True,4,0,0,True,64,True,0,101,103,True,0,1,2,True,6,0,0,True
eval-easy-027,83,False,0,107,107,True,0,1,1,True,0,1,1,True,84,True,0,106,106,True,2,0,0,True,,,,
eval-easy-028,157,False,0,99,104,True,0,9,10,True,2,0,1,True,158,False,0,102,104,True,0,2,2,True,3,0,0,True
eval-easy-029,89,True,0,99,99,True,1,0,0,True,,,,,90,True,0,103,107,True,2,0,0,True,,,,
eval-easy-030,138,True,0,106,106,True,0,2,2,True,4,0,0,True,137,True,0,106,106,True,5,0,0,True,,,,
eval-easy-031,107,True,0,102,107,True,0,5,6,True,5,0,0,True,108,True,0,101,104,True,0,1,2,True,7,0,0,True
eval-easy-032,196,True,0,106,108,True,0,5,5,True,5,0,0,True,195,True,0,102,102,True,1,0,0,True,,,,
eval-easy-033,8,True,0,101,108,True,0,5,6,True,7,0,0,True,7,True,0,102,128,True,0,23,26,True,7,0,0,True
eval-easy-034,59,True,0,102,117,True,0,13,13,True,5,0,1,True,60,True,0,102,125,True,0,19,19,True,6,0,0,True
eval-easy-035,118,True,0,103,103,True,0,3,4,True,6,0,0,True,117,True,0,102,102,True,4,0,0,True,,,,
eval-easy-036,39,True,0,102,104,True,0,2,3,True,6,0,0,True,40,True,0,102,102,True,3,0,0,True,,,,
eval-easy-037,80,True,0,106,106,True,3,0,0,True,,,,,79,True,0,106,106,True,2,0,1,True,,,,
eval-easy-038,36,True,0,108,108,True,0,3,3,True,5,0,0,True,35,True,0,107,107,True,4,0,0,True,,,,
eval-hard-001,151,False,,,,,,,,,,,,,152,False,,,,,,,,,,,,
eval-hard-002,24,True,0,99,191,True,0,91,92,True,2,0,1,True,23,True,0,101,192,True,0,89,91,True,4,0,0,True
eval-hard-003,134,False,0,99,191,True,0,99,170,True,,,,,133,False,0,88,174,True,0,86,95,True,0,9,13,True
eval-hard-004,69,False,0,99,181,True,0,88,168,True,0,79,162,True,70,True,0,99,187,True,0,88,88,True,4,0,0,True
eval-hard-005,183,False,0,99,144,True,0,71,72,True,0,22,26,True,184,False,0,99,145,True,0,54,54,True,3,0,0,True
eval-hard-006,21,False,0,106,148,True,0,64,64,True,0,12,23,True,22,True,0,107,143,True,0,36,36,True,4,0,0,True
eval-hard-007,14,False,0,99,176,True,0,83,148,True,0,70,136,True,13,False,0,99,176,True,0,77,77,True,4,0,0,True
eval-hard-008,43,False,0,102,179,True,0,88,162,True,0,82,155,True,44,True,0,102,190,True,0,88,88,True,3,0,0,True
eval-hard-009,37,False,0,106,143,True,0,67,67,True,0,16,30,True,38,True,0,106,137,True,0,29,29,True,5,0,0,True
eval-hard-010,91,False,0,102,195,True,0,95,99,True,0,2,13,True,92,True,0,107,173,True,0,68,68,True,3,0,0,True
eval-hard-011,205,True,0,88,171,True,0,83,83,True,2,0,0,True,206,False,0,88,176,True,0,88,88,True,4,0,0,True
eval-hard-012,54,False,0,96,158,True,0,96,145,True,0,61,70,True,53,False,0,96,159,True,0,67,76,True,0,14,15,True
eval-hard-013,192,False,0,99,195,True,0,99,134,True,0,27,57,True,191,True,0,102,195,True,0,87,87,True,3,0,0,True
eval-hard-014,128,False,0,106,198,True,0,96,98,True,2,0,8,True,127,False,0,99,190,True,0,97,147,True,0,29,85,True
eval-hard-015,1,False,0,96,158,True,0,79,82,True,0,19,22,True,2,True,0,88,138,True,0,50,50,True,3,0,0,True
eval-hard-016,149,False,0,102,176,True,0,102,150,True,0,74,125,True,150,True,0,99,180,True,0,81,81,True,4,0,0,True
eval-hard-017,106,False,0,101,178,True,0,87,89,True,0,12,13,True,105,True,0,101,178,True,0,77,77,True,4,0,0,True
eval-hard-018,120,False,,,,,,,,,,,,,119,False,,,,,,,,,,,,
eval-hard-019,160,False,0,106,204,True,0,98,121,True,0,25,48,True,159,True,0,105,200,True,0,94,94,True,3,0,0,True
eval-hard-020,122,False,0,88,166,True,0,88,133,True,0,56,97,True,121,False,0,99,198,True,0,98,112,True,0,11,14,True
eval-hard-021,171,False,0,106,171,True,0,90,92,True,0,14,27,True,172,True,0,105,173,True,0,68,68,True,5,0,0,True
eval-hard-022,212,False,0,106,159,True,0,88,93,True,0,17,40,True,211,True,0,105,158,True,0,51,51,True,6,0,0,True
eval-hard-023,48,False,0,102,168,True,0,77,84,True,0,16,22,True,47,False,0,102,180,True,0,80,82,True,0,3,3,True
eval-hard-024,50,False,0,105,160,True,0,74,76,True,0,35,49,True,49,True,0,106,169,True,0,62,63,True,5,0,0,True
eval-hard-025,180,False,0,99,198,True,0,98,190,True,0,89,93,True,179,False,0,102,196,True,0,94,94,True,4,0,0,True
eval-hard-026,115,True,0,99,178,True,0,82,83,True,1,0,4,True,116,True,0,99,177,True,0,78,78,True,5,0,0,True
eval-hard-027,31,False,0,96,178,True,0,86,90,True,0,3,3,True,32,True,0,99,169,True,0,69,70,True,3,0,0,True
eval-hard-028,101,False,0,104,183,True,0,103,161,True,0,89,93,True,102,True,0,101,183,True,0,77,77,True,3,0,0,True
eval-hard-029,197,False,0,103,175,True,0,97,152,True,0,58,59,True,198,True,0,106,181,True,0,73,73,True,5,0,0,True
eval-hard-030,58,False,0,106,185,True,0,88,88,True,0,4,11,True,57,True,0,106,192,True,0,84,84,True,4,0,0,True
eval-moderate-001,110,True,0,102,114,True,0,13,13,True,5,0,0,True,109,True,0,96,103,True,0,6,7,True,5,0,0,True
eval-moderate-002,75,False,0,108,211,True,0,103,103,True,1,0,0,True,76,True,0,102,135,True,0,33,33,True,6,0,0,True
eval-moderate-003,201,True,0,104,104,True,1,0,1,True,,,,,202,True,0,105,105,True,4,0,0,True,,,,
eval-moderate-004,18,True,0,99,114,True,0,15,15,True,6,0,0,True,17,True,0,101,130,True,0,24,25,True,6,0,0,True
eval-moderate-005,168,True,0,106,106,True,0,1,1,True,5,0,0,True,167,True,0,105,105,True,5,0,0,True,,,,
eval-moderate-006,143,True,0,99,99,True,0,1,1,True,5,0,0,True,144,True,0,105,105,True,3,0,0,True,,,,
eval-moderate-007,176,True,0,106,106,True,1,0,1,True,,,,,175,True,0,107,107,True,4,0,0,True,,,,
eval-moderate-008,56,True,0,106,106,True,0,1,3,True,4,0,0,True,55,True,0,106,107,True,0,2,2,True,3,0,0,True
eval-moderate-009,113,True,0,105,105,True,0,2,2,True,5,0,0,True,114,True,0,106,106,True,4,0,0,True,,,,
eval-moderate-010,87,True,0,106,106,True,0,2,3,True,3,0,0,True,88,True,0,106,106,True,2,0,0,True,,,,
eval-moderate-011,62,True,0,101,110,True,0,10,11,True,7,0,0,True,61,True,0,101,116,True,0,14,14,True,7,0,0,True
eval-moderate-012,146,True,0,105,105,True,0,1,2,True,5,0,0,True,145,True,0,106,106,True,2,0,1,True,,,,
eval-moderate-013,104,True,0,108,110,True,0,3,3,True,5,0,0,True,103,True,0,108,108,True,2,0,0,True,,,,
eval-moderate-014,186,True,0,105,106,True,0,5,5,True,4,0,0,True,185,True,0,104,105,True,0,1,1,True,6,0,0,True
eval-moderate-015,82,False,0,99,99,True,0,77,89,True,0,61,84,True,81,False,0,99,103,True,0,4,4,True,5,0,0,True
eval-moderate-016,4,True,0,103,113,True,0,11,12,True,5,0,0,True,3,True,0,103,117,True,0,12,13,True,6,0,0,True
eval-moderate-017,169,False,0,103,103,True,0,1,1,True,4,0,0,True,170,False,0,88,149,True,0,55,61,True,21,0,0,True
eval-moderate-018,51,True,0,106,106,True,0,2,2,True,2,0,0,True,52,True,0,106,106,True,3,0,0,True,,,,
eval-moderate-019,148,True,0,106,106,True,0,3,3,True,3,0,0,True,147,True,0,106,106,True,5,0,0,True,,,,
eval-moderate-020,125,True,0,102,102,True,2,0,0,True,,,,,126,True,0,102,102,True,3,0,0,True,,,,
eval-moderate-021,193,False,0,99,102,True,0,4,4,True,4,0,0,True,194,True,0,99,106,True,0,7,7,True,5,0,0,True
eval-moderate-022,200,False,0,101,105,True,0,3,3,True,7,0,0,True,199,True,0,102,104,True,0,2,2,True,7,0,0,True
eval-moderate-023,15,True,0,102,111,True,0,10,10,True,6,0,0,True,16,True,0,102,123,True,0,17,17,True,6,0,0,True
eval-moderate-024,5,True,0,106,106,True,3,0,0,True,,,,,6,True,0,105,106,True,4,0,0,True,,,,
eval-moderate-025,41,True,0,96,101,True,0,5,5,True,5,0,0,True,42,True,0,104,122,True,0,18,20,True,6,0,0,True
eval-moderate-026,19,True,0,104,104,True,0,1,1,True,4,0,0,True,20,True,0,104,111,True,0,6,6,True,4,0,0,True
eval-moderate-027,163,False,0,99,99,True,2,0,0,True,,,,,164,True,0,88,88,True,4,0,0,True,,,,
eval-moderate-028,100,True,0,99,104,True,0,5,5,True,4,0,0,True,99,True,0,99,112,True,0,13,13,True,4,0,0,True
